source	site	layer	kind	position	label	l0
addsub-05-filter-integers	layers.2.mlp.gate_proj	2	mlp.gate_proj	2	op	3.4050
addsub-05-filter-integers	layers.2.mlp.gate_proj	2	mlp.gate_proj	3	b	4.5188
addsub-05-filter-integers	layers.2.mlp.gate_proj	2	mlp.gate_proj	4	=	1.9940
addsub-05-filter-integers	layers.2.mlp.up_proj	2	mlp.up_proj	0	<BOS>	0.7628
addsub-05-filter-integers	layers.2.mlp.up_proj	2	mlp.up_proj	1	a	3.5955
addsub-05-filter-integers	layers.2.mlp.up_proj	2	mlp.up_proj	2	op	3.0650
addsub-05-filter-integers	layers.2.mlp.up_proj	2	mlp.up_proj	3	b	5.2020
addsub-05-filter-integers	layers.2.mlp.up_proj	2	mlp.up_proj	4	=	1.0000
addsub-05-filter-integers	layers.2.self_attn.k_proj	2	self_attn.k_proj	0	<BOS>	3.0000
addsub-05-filter-integers	layers.2.self_attn.k_proj	2	self_attn.k_proj	1	a	2.0820
addsub-05-filter-integers	layers.2.self_attn.k_proj	2	self_attn.k_proj	2	op	3.0400
addsub-05-filter-integers	layers.2.self_attn.k_proj	2	self_attn.k_proj	3	b	1.0412
addsub-05-filter-integers	layers.2.self_attn.k_proj	2	self_attn.k_proj	4	=	1.0000
addsub-05-filter-integers	layers.2.self_attn.o_proj	2	self_attn.o_proj	0	<BOS>	0.0000
addsub-05-filter-integers	layers.2.self_attn.o_proj	2	self_attn.o_proj	1	a	1.0000
addsub-05-filter-integers	layers.2.self_attn.o_proj	2	self_attn.o_proj	2	op	2.0577
addsub-05-filter-integers	layers.2.self_attn.o_proj	2	self_attn.o_proj	3	b	4.1848
addsub-05-filter-integers	layers.2.self_attn.o_proj	2	self_attn.o_proj	4	=	3.5738
addsub-05-filter-integers	layers.2.self_attn.q_proj	2	self_attn.q_proj	0	<BOS>	0.0000
addsub-05-filter-integers	layers.2.self_attn.q_proj	2	self_attn.q_proj	1	a	1.0000
addsub-05-filter-integers	layers.2.self_attn.q_proj	2	self_attn.q_proj	2	op	2.0952
addsub-05-filter-integers	layers.2.self_attn.q_proj	2	self_attn.q_proj	3	b	4.4735
addsub-05-filter-integers	layers.2.self_attn.q_proj	2	self_attn.q_proj	4	=	3.0000
addsub-05-filter-integers	layers.2.self_attn.v_proj	2	self_attn.v_proj	0	<BOS>	2.0000
addsub-05-filter-integers	layers.2.self_attn.v_proj	2	self_attn.v_proj	1	a	2.0175
addsub-05-filter-integers	layers.2.self_attn.v_proj	2	self_attn.v_proj	2	op	4.2092
addsub-05-filter-integers	layers.2.self_attn.v_proj	2	self_attn.v_proj	3	b	0.8415
addsub-05-filter-integers	layers.2.self_attn.v_proj	2	self_attn.v_proj	4	=	1.0000
addsub-05-filter-integers	layers.20.mlp.down_proj	20	mlp.down_proj	0	<BOS>	0.5020
addsub-05-filter-integers	layers.20.mlp.down_proj	20	mlp.down_proj	1	a	4.2673
addsub-05-filter-integers	layers.20.mlp.down_proj	20	mlp.down_proj	2	op	4.0312
addsub-05-filter-integers	layers.20.mlp.down_proj	20	mlp.down_proj	3	b	4.2945
addsub-05-filter-integers	layers.20.mlp.down_proj	20	mlp.down_proj	4	=	8.7463
addsub-05-filter-integers	layers.20.mlp.gate_proj	20	mlp.gate_proj	0	<BOS>	1.4898
addsub-05-filter-integers	layers.20.mlp.gate_proj	20	mlp.gate_proj	1	a	3.4602
addsub-05-filter-integers	layers.20.mlp.gate_proj	20	mlp.gate_proj	2	op	3.7550
addsub-05-filter-integers	layers.20.mlp.gate_proj	20	mlp.gate_proj	3	b	3.6052
addsub-05-filter-integers	layers.20.mlp.gate_proj	20	mlp.gate_proj	4	=	4.9272
addsub-05-filter-integers	layers.20.mlp.up_proj	20	mlp.up_proj	0	<BOS>	0.9933
addsub-05-filter-integers	layers.20.mlp.up_proj	20	mlp.up_proj	1	a	3.0470
addsub-05-filter-integers	layers.20.mlp.up_proj	20	mlp.up_proj	2	op	3.4843
