site	layer	kind	component	alive_start	alive_answer-ce	max_ci_answer-ce	alive_integers	max_ci_integers	alive_last-pos-ceiling	max_ci_last-pos-ceiling	effect_run	effect_run_add	effect_run_sub	impairs_frac_run	impairs_frac_run_add	impairs_frac_run_sub	active_frac_run	ablated_dscore_run	ablated_dacc_run	swept_dkl_run	swept_dinteger_kl_run	swept_danswer_ce_run	swept_daccuracy_run	effect_answer-ce	effect_answer-ce_add	effect_answer-ce_sub	impairs_frac_answer-ce	impairs_frac_answer-ce_add	impairs_frac_answer-ce_sub	active_frac_answer-ce	ablated_dscore_answer-ce	ablated_dacc_answer-ce	swept_dkl_answer-ce	swept_dinteger_kl_answer-ce	swept_danswer_ce_answer-ce	swept_daccuracy_answer-ce	effect_integers	effect_integers_add	effect_integers_sub	impairs_frac_integers	impairs_frac_integers_add	impairs_frac_integers_sub	active_frac_integers	ablated_dscore_integers	ablated_dacc_integers	swept_dkl_integers	swept_dinteger_kl_integers	swept_danswer_ce_integers	swept_daccuracy_integers
layers.0.mlp.down_proj	0	mlp.down_proj	36	1	1	1	1	1	1	1	-0.00130534	-0.000724446	-0.00188624	0.05175	0.0375	0.066	0.19			0.000421368	0.000651561	0.00445437	0.00195312	-0.000247786	3.14947e-05	-0.000527068				0.19			-0.0235777	-0.0192287	0.000652373	0	-0.000995092	-0.000599357	-0.00139083	0.0602	0.0442	0.0762	0.19			0.00037466	0.00058268	0.00499868	-0.00390625
layers.0.mlp.down_proj	0	mlp.down_proj	37	1	1	1	1	1	1	1	0.00983689	0.00612904	0.0135447	0.9179	0.8918	0.9439	1			-0.000126407	-0.000557568	-0.0138538	0.00585938	0.00226025	0.000551537	0.00396897				1			0.0342879	0.030329	-0.00273341	0.00390625	0.0092754	0.00559377	0.012957	0.8985	0.8584	0.9386	1			4.87119e-05	-0.000497006	-0.0114412	0
layers.0.mlp.down_proj	0	mlp.down_proj	38	1	1	1	1	1	1	1	-0.0033197	-0.00311557	-0.00352383	0.0472	0.0225	0.0719	0.19			0.000259396	0.000453424	0.00445223	0	-0.000606105	-0.000134131	-0.00107808				0.19			-0.0144458	-0.0114133	0.000311136	-0.00390625	-0.00320483	-0.00312882	-0.00328084	0.0438	0.021	0.0666	0.19			0.000113674	0.000186227	0.00149965	0
layers.0.mlp.down_proj	0	mlp.down_proj	41	1	1	1	1	1	1	1	-4.5033e-05	0.000188629	-0.000278694	0.06775	0.0736	0.0619	0.1214			2.13832e-05	2.57678e-05	-7.84397e-05	-0.00195312	-2.12025e-05	-3.44973e-06	-3.89553e-05				0.1163			9.29832e-05	0.000301838	-6.70552e-05	0.00390625	-5.15618e-05	0.000163464	-0.000266587	0.06175	0.0693	0.0542	0.1184			5.01275e-05	4.49345e-05	0.000332355	-0.0078125
layers.0.mlp.down_proj	0	mlp.down_proj	43	1	1	1	1	1	1	1	8.89559e-05	0.000637036	-0.000459124	0.09605	0.1346	0.0575	0.1538			2.35066e-06	-1.83955e-05	-0.00077796	0	7.32406e-05	-1.08324e-05	0.000157314				0.1379			0.000434399	0.000163794	0.000297248	0	9.12227e-05	0.000590887	-0.000408441	0.0902	0.1299	0.0505	0.1536			-1.07735e-05	-6.39707e-05	-0.000321388	-0.00390625
layers.0.mlp.down_proj	0	mlp.down_proj	44	1	1	1	1	1	1	1	-0.00183309	-0.00138384	-0.00228235	0.0543	0.0478	0.0608	0.19			0.000116117	0.000190813	0.00234604	0	-0.000530876	-0.000160363	-0.000901388				0.19			-0.0120192	-0.00918627	0.000193119	0	-0.00170463	-0.00143738	-0.00197188	0.05165	0.0421	0.0612	0.19			0.000120535	0.000219099	0.00249767	0
layers.0.mlp.down_proj	0	mlp.down_proj	45	1	1	1	1	1	1	1	-0.00290643	-0.00253764	-0.00327523	0.04895	0.0219	0.076	0.19			0.000321686	0.000512328	0.00402617	0	-0.000603983	-0.000147086	-0.00106088				0.19			-0.0146666	-0.0111678	9.83477e-05	0	-0.00270412	-0.00250222	-0.00290602	0.04875	0.023	0.0745	0.19			0.000631154	0.00102361	0.0046196	-0.0078125
layers.0.mlp.down_proj	0	mlp.down_proj	46	1	1	1	1	1	1	1	0.00122826	0.00543676	-0.00298024	0.6545	0.9847	0.3243	1			-0.000138924	-0.000318158	-0.00188708	0	-0.00205146	6.06627e-05	-0.00416358				1			0.0105662	0.00783658	0.00252938	-0.0078125	0.00105478	0.00510651	-0.00299695	0.6512	0.9768	0.3257	1			-0.000138268	-0.000457451	-0.000298977	-0.0078125
layers.0.mlp.down_proj	0	mlp.down_proj	47	1	1	1	1	1	1	1	5.76e-07	1.1495e-06	2.50363e-09	0.01605	0.0316	0.0005	0.03085			-1.13994e-05	-9.93535e-06	-0.000152349	0	6.53787e-07	1.30755e-06	2.5348e-11				0.0302			0.000291824	0.000282764	-4.76837e-06	0	8.51681e-07	1.70304e-06	3.24473e-10	0.01625	0.0322	0.0003	0.0302			-5.33834e-05	-7.12425e-05	-0.000275135	0
layers.0.mlp.down_proj	0	mlp.down_proj	48	1	1	1	1	1	1	1	-0.000496669	-0.000184955	-0.000808383	0.05125	0.0688	0.0337	0.1492			6.5323e-05	0.000116941	0.00101686	0	-8.42198e-05	-1.70203e-05	-0.000151419				0.1492			-0.00157547	-0.00140786	7.92146e-05	0	-0.000446442	-0.000165842	-0.000727043	0.0512	0.0695	0.0329	0.149			9.39891e-05	0.000136495	0.00118494	0
layers.0.mlp.down_proj	0	mlp.down_proj	49	1	1	1	1	1	1	1	-2.65318e-06	1.3552e-06	-6.66157e-06	0.00825	0.0141	0.0024	0.02			-4.50388e-06	-4.01586e-06	0.000113726	0	-6.72891e-07	3.36024e-07	-1.68181e-06				0.02			7.67708e-05	4.673e-05	1.18613e-05	0	-1.74576e-06	1.40092e-06	-4.89244e-06	0.00905	0.0144	0.0037	0.02			2.34172e-05	2.57194e-05	0.000251293	0
layers.0.mlp.down_proj	0	mlp.down_proj	50	1	1	1	1	1	1	1	-0.00114883	-0.000856592	-0.00144107	0.06555	0.0485	0.0826	0.19			0.000132255	0.000199836	0.00106215	0	-0.00030585	-8.42023e-05	-0.000527499				0.19			-0.0106473	-0.00820613	-7.40886e-05	-0.00390625	-0.00103886	-0.000821818	-0.0012559	0.06265	0.0467	0.0786	0.19			0.000133507	0.000192016	0.0016923	0
layers.0.mlp.down_proj	0	mlp.down_proj	52	1	1	1	1	1	1	1	-0.00161345	-0.00126337	-0.00196352	0.0552	0.0353	0.0751	0.19			2.62037e-05	7.52881e-05	0.00158048	0	-0.000285337	-4.92777e-05	-0.000521396				0.19			-0.0126181	-0.01071	0.00146765	0	-0.00145206	-0.00123994	-0.00166417	0.0562	0.0333	0.0791	0.19			0.000117466	0.000225134	0.00224161	0
layers.0.mlp.down_proj	0	mlp.down_proj	53	1	1	1	1	1	1	1	-0.000253586	-0.000219042	-0.000288131	0.04015	0.0343	0.046	0.0981			-1.33365e-06	9.96143e-06	0.000180006	0	-1.08228e-05	-1.17428e-05	-9.90268e-06				0.0978			-0.00112343	-0.00119376	-4.26173e-05	0	-0.000211833	-0.000190985	-0.000232681	0.0415	0.0362	0.0468	0.09755			5.16921e-05	8.86843e-05	0.00127602	0
layers.0.mlp.down_proj	0	mlp.down_proj	54	1	1	1	1	1	1	1	-1.95185e-05	-1.46298e-05	-2.44072e-05	0.0154	0.0084	0.0224	0.0519			-1.95354e-05	-2.63602e-05	4.33922e-05	0	-4.43164e-06	-2.02575e-06	-6.83754e-06				0.05015			-9.72748e-05	-0.0001297	0.000178635	0	-1.80631e-05	-1.36044e-05	-2.25218e-05	0.0146	0.0098	0.0194	0.0502			1.48639e-05	1.88574e-05	0.000215054	0
