site	layer	kind	component	max_ci_alive_in	kl_full	kl_integer	integer_share_of_kl	top_token	p_before	p_after	top_tokens
layers.31.mlp.down_proj	31	mlp.down_proj	763	0.02344	5.839e-05	5.422e-05	0.929	'?\n'	0.07516	0.07515	'?\n' 0.0752->0.0752; ' -' 0.006->0.00599; '?\n' 0.00811->0.00811; '??' 0.0111->0.0111; ' Rule' 5.04e-05->5.29e-05
layers.31.mlp.down_proj	31	mlp.down_proj	816	0.1816	8.911e-05	7.805e-05	0.876	'????'	0.006535	0.006551	'????' 0.00654->0.00655; '??' 0.0111->0.0111; '?\n' 0.00811->0.00812; ' (' 0.00526->0.00525; '-\n' 0.00132->0.00132
layers.31.mlp.down_proj	31	mlp.down_proj	850	0.05859	5.276e-05	4.872e-05	0.923	'?\n'	0.07516	0.07514	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0416; '?' 0.00996->0.00996; ' -' 0.006->0.006; '?\n' 0.00811->0.00811
layers.31.mlp.down_proj	31	mlp.down_proj	962	0.01172	4.95e-05	4.599e-05	0.929	'?\n'	0.07516	0.07518	'?\n' 0.0752->0.0752; '??' 0.0111->0.0111; '?' 0.00996->0.00996; '?\n' 0.00811->0.00811; '????' 0.00654->0.00654
layers.31.mlp.down_proj	31	mlp.down_proj	964	0.03516	5.385e-05	4.897e-05	0.909	'??'	0.01114	0.01113	'??' 0.0111->0.0111; '????' 0.00654->0.00653; ' ' 0.0415->0.0415; '???' 0.00613->0.00612; '?\n' 0.0752->0.0752
layers.31.mlp.down_proj	31	mlp.down_proj	967	0.01367	4.537e-05	4.172e-05	0.92	'?\n'	0.07516	0.07518	'?\n' 0.0752->0.0752; ' ' 0.0415->0.0415; ' (' 0.00526->0.00526; '??' 0.0111->0.0111; ' -' 0.006->0.006
layers.31.mlp.down_proj	31	mlp.down_proj	978	0.02539	5.54e-05	5.032e-05	0.908	' '	0.04154	0.0415	' ' 0.0415->0.0415; '?\n' 0.0752->0.0752; ' -' 0.006->0.006; '?\n' 0.00811->0.00811; '____' 0.00488->0.00488
layers.31.mlp.down_proj	31	mlp.down_proj	987	0.0332	4.845e-05	4.445e-05	0.917	' '	0.04154	0.04157	' ' 0.0415->0.0416; '?\n' 0.0752->0.0752; ' (' 0.00526->0.00527; ' -' 0.006->0.006; '?\n' 0.00811->0.00811
layers.31.mlp.down_proj	31	mlp.down_proj	999	0.04688	5.662e-05	5.32e-05	0.94	'?\n'	0.07516	0.0752	'?\n' 0.0752->0.0752; ' ' 0.0415->0.0415; ' -' 0.006->0.00599; '???' 0.00613->0.00613; '??' 0.0111->0.0111
layers.31.mlp.gate_proj	31	mlp.gate_proj	13	0.05469	8.681e-05	7.819e-05	0.901	'????'	0.006535	0.00653	'????' 0.00654->0.00653; ' ' 0.0415->0.0415; '?' 0.00996->0.00996; ' -' 0.006->0.006; ' (' 0.00526->0.00526
layers.31.mlp.gate_proj	31	mlp.gate_proj	52	0.01562	8.827e-05	7.941e-05	0.9	' '	0.04154	0.04152	' ' 0.0415->0.0415; '?\n' 0.0752->0.0752; '??' 0.0111->0.0111; ' -' 0.006->0.00599; ' Rule' 5.04e-05->5.29e-05
layers.31.mlp.gate_proj	31	mlp.gate_proj	59	0.2383	0.0001233	0.000109	0.884	' '	0.04154	0.04155	' ' 0.0415->0.0416; '??' 0.0111->0.0111; '?\n' 0.0752->0.0751; '?' 0.00996->0.00996; '____' 0.00488->0.00487
layers.31.mlp.gate_proj	31	mlp.gate_proj	116	0.2617	0.0001242	0.0001113	0.896	'?\n'	0.07516	0.07514	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0415; '____' 0.00488->0.00488; '?' 0.00996->0.00996; '????' 0.00654->0.00653
layers.31.mlp.gate_proj	31	mlp.gate_proj	119	0.01172	0.0001497	0.0001302	0.869	' '	0.04154	0.04159	' ' 0.0415->0.0416; '?\n' 0.0752->0.0752; '???' 0.00613->0.00614; ' -' 0.006->0.00601; '????' 0.00654->0.00655
layers.31.mlp.gate_proj	31	mlp.gate_proj	207	0.01172	0.000105	9.572e-05	0.912	'?\n'	0.07516	0.07511	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0415; '?\n' 0.00811->0.0081; '?' 0.00996->0.00996; '???' 0.00613->0.00612
layers.31.mlp.gate_proj	31	mlp.gate_proj	273	0.08203	0.0001142	0.0001019	0.892	' '	0.04154	0.04152	' ' 0.0415->0.0415; '?\n' 0.0752->0.0752; '????' 0.00654->0.00654; '?' 0.00996->0.00996; ' Rule' 5.04e-05->5.28e-05
layers.31.mlp.gate_proj	31	mlp.gate_proj	274	0.01172	8.748e-05	7.996e-05	0.914	' '	0.04154	0.04156	' ' 0.0415->0.0416; '?\n' 0.0752->0.0751; '?\n' 0.00811->0.00812; ' Rule' 5.04e-05->5.3e-05; '+' 0.00156->0.00156
layers.31.mlp.gate_proj	31	mlp.gate_proj	343	0.04688	0.0001493	0.0001278	0.856	'?\n'	0.07516	0.07504	'?\n' 0.0752->0.075; ' ' 0.0415->0.0415; '?' 0.00996->0.00998; '????' 0.00654->0.00655; '???' 0.00613->0.00614
layers.31.mlp.gate_proj	31	mlp.gate_proj	406	0.1191	0.0001316	0.0001139	0.866	' '	0.04154	0.04148	' ' 0.0415->0.0415; '?' 0.00996->0.00995; '____' 0.00488->0.00487; '?\n' 0.0752->0.0752; '??' 0.0111->0.0111
layers.31.mlp.gate_proj	31	mlp.gate_proj	432	0.01562	7.657e-05	7.027e-05	0.918	'?\n'	0.07516	0.07521	'?\n' 0.0752->0.0752; ' ' 0.0415->0.0415; '?\n' 0.00811->0.00811; ' (' 0.00526->0.00527; '????' 0.00654->0.00653
layers.31.mlp.gate_proj	31	mlp.gate_proj	559	0.05664	7.753e-05	7.06e-05	0.911	'?\n'	0.07516	0.07518	'?\n' 0.0752->0.0752; ' ' 0.0415->0.0415; '??' 0.0111->0.0111; ' (' 0.00526->0.00526; ' -' 0.006->0.006
layers.31.mlp.gate_proj	31	mlp.gate_proj	560	0.0293	8.464e-05	7.568e-05	0.894	'?\n'	0.07516	0.07514	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0415; '???' 0.00613->0.00613; '????' 0.00654->0.00654; '?\n' 0.00811->0.00811
layers.31.mlp.gate_proj	31	mlp.gate_proj	599	0.07422	0.0001061	9.491e-05	0.895	' '	0.04154	0.04153	' ' 0.0415->0.0415; '?\n' 0.0752->0.0752; '____' 0.00488->0.00488; '?' 0.00996->0.00996; ' -' 0.006->0.006
layers.31.mlp.gate_proj	31	mlp.gate_proj	755	0.06055	0.0001002	8.932e-05	0.891	' '	0.04154	0.04151	' ' 0.0415->0.0415; '?\n' 0.0752->0.0751; '____' 0.00488->0.00488; ' (' 0.00526->0.00526; ' Rule' 5.04e-05->5.33e-05
layers.31.mlp.gate_proj	31	mlp.gate_proj	792	0.04297	7.695e-05	6.863e-05	0.892	'?\n'	0.07516	0.07515	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0415; '?' 0.00996->0.00996; '??' 0.0111->0.0111; '???' 0.00613->0.00613
layers.31.mlp.up_proj	31	mlp.up_proj	18	0.01758	0.0001044	9.265e-05	0.888	' '	0.04154	0.04152	' ' 0.0415->0.0415; '?\n' 0.0752->0.0752; '?\n' 0.00811->0.0081; '?' 0.00996->0.00996; '____' 0.00488->0.00488
layers.31.mlp.up_proj	31	mlp.up_proj	24	0.06836	0.0001474	0.0001246	0.845	'?\n'	0.07516	0.0751	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0415; '____' 0.00488->0.00487; '????' 0.00654->0.00652; '??' 0.0111->0.0111
layers.31.mlp.up_proj	31	mlp.up_proj	52	0.02344	9.646e-05	8.486e-05	0.88	'?\n'	0.07516	0.07514	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0415; '____' 0.00488->0.00488; ' -' 0.006->0.00599; '??' 0.0111->0.0111
layers.31.mlp.up_proj	31	mlp.up_proj	160	0.01953	8.788e-05	8.15e-05	0.927	'?\n'	0.07516	0.07517	'?\n' 0.0752->0.0752; ' (' 0.00526->0.00527; '?' 0.00996->0.00996; '????' 0.00654->0.00653; '??' 0.0111->0.0111
layers.31.mlp.up_proj	31	mlp.up_proj	248	0.1113	0.0001346	0.0001188	0.883	'????'	0.006535	0.006518	'????' 0.00654->0.00652; '?\n' 0.00811->0.00809; ' ' 0.0415->0.0415; '?' 0.00996->0.00997; '?\n' 0.0752->0.0752
layers.31.mlp.up_proj	31	mlp.up_proj	407	0.04492	7.32e-05	6.667e-05	0.911	' '	0.04154	0.04154	' ' 0.0415->0.0415; ' -' 0.006->0.00599; '??' 0.0111->0.0111; '?\n' 0.0752->0.0752; '____' 0.00488->0.00488
layers.31.mlp.up_proj	31	mlp.up_proj	431	0.1445	0.0001322	0.0001166	0.882	' '	0.04154	0.0415	' ' 0.0415->0.0415; ' (' 0.00526->0.00525; '?\n' 0.0752->0.0752; ' -' 0.006->0.00601; '?\n' 0.00811->0.0081
layers.31.mlp.up_proj	31	mlp.up_proj	434	0.06641	0.0001244	0.0001115	0.896	'?\n'	0.07516	0.07523	'?\n' 0.0752->0.0752; ' ' 0.0415->0.0416; '????' 0.00654->0.00653; '\xa0' 0.00164->0.00164; '___' 0.00148->0.00149
layers.31.mlp.up_proj	31	mlp.up_proj	442	0.2012	0.0001325	0.0001173	0.885	'?\n'	0.07516	0.07511	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0416; '??' 0.0111->0.0112; '?\n' 0.00811->0.0081; ' -' 0.006->0.00601
layers.31.mlp.up_proj	31	mlp.up_proj	495	0.01367	7.874e-05	7.161e-05	0.909	'?\n'	0.07516	0.07518	'?\n' 0.0752->0.0752; '?' 0.00996->0.00996; '??' 0.0111->0.0111; ' ' 0.0415->0.0415; ' -' 0.006->0.00599
layers.31.mlp.up_proj	31	mlp.up_proj	514	0.01367	7.892e-05	7.294e-05	0.924	'?\n'	0.07516	0.07518	'?\n' 0.0752->0.0752; '?' 0.00996->0.00996; ' ' 0.0415->0.0415; '??' 0.0111->0.0111; ' -' 0.006->0.006
layers.31.mlp.up_proj	31	mlp.up_proj	819	0.01367	8.405e-05	7.707e-05	0.917	'??'	0.01114	0.01115	'??' 0.0111->0.0112; '?\n' 0.0752->0.0752; '?' 0.00996->0.00997; ' -' 0.006->0.00599; ' (' 0.00526->0.00527
layers.31.mlp.up_proj	31	mlp.up_proj	851	0.01758	7.94e-05	7.141e-05	0.899	'?'	0.009965	0.009947	'?' 0.00996->0.00995; ' -' 0.006->0.00599; ' ' 0.0415->0.0415; '?\n' 0.0752->0.0752; '____' 0.00488->0.00488
layers.31.self_attn.o_proj	31	self_attn.o_proj	56	0.1328	0.0001204	0.0001054	0.875	' '	0.04154	0.04157	' ' 0.0415->0.0416; '?\n' 0.0752->0.0752; '?' 0.00996->0.00995; '?\n' 0.00811->0.00811; '____' 0.00488->0.00488
layers.31.self_attn.o_proj	31	self_attn.o_proj	74	0.01172	0.0001072	9.537e-05	0.89	' -'	0.005999	0.005989	' -' 0.006->0.00599; ' ' 0.0415->0.0415; '?' 0.00996->0.00996; ' (' 0.00526->0.00527; '?\n' 0.0752->0.0752
layers.31.self_attn.o_proj	31	self_attn.o_proj	168	0.01562	0.0001247	0.0001112	0.891	' '	0.04154	0.04151	' ' 0.0415->0.0415; '?\n' 0.0752->0.0752; '?\n' 0.00811->0.00812; ' (' 0.00526->0.00526; ' -' 0.006->0.006
layers.31.self_attn.o_proj	31	self_attn.o_proj	458	0.08398	0.0001093	9.717e-05	0.889	' '	0.04154	0.04156	' ' 0.0415->0.0416; '____' 0.00488->0.00488; '?\n' 0.0752->0.0752; ' -' 0.006->0.00599; '???' 0.00613->0.00613
layers.31.self_attn.q_proj	31	self_attn.q_proj	13	0.04688	0.0001069	9.444e-05	0.883	'?\n'	0.07516	0.07515	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0415; '____' 0.00488->0.00488; ' (' 0.00526->0.00526; '??' 0.0111->0.0111
layers.31.self_attn.q_proj	31	self_attn.q_proj	51	0.01172	6.168e-05	5.48e-05	0.888	' '	0.04154	0.04156	' ' 0.0415->0.0416; '?\n' 0.0752->0.0752; '?' 0.00996->0.00996; '???' 0.00613->0.00613; '??' 0.0111->0.0111
layers.31.self_attn.v_proj	31	self_attn.v_proj	149	0.1211	0.0001335	0.0001143	0.856	' '	0.04154	0.04156	' ' 0.0415->0.0416; '____' 0.00488->0.00488; '?' 0.00996->0.00996; '+' 0.00156->0.00156; ' (' 0.00526->0.00526
layers.31.self_attn.v_proj	31	self_attn.v_proj	195	0.5547	0.0001285	0.0001135	0.883	'?\n'	0.07516	0.07519	'?\n' 0.0752->0.0752; '?' 0.00996->0.00995; ' ' 0.0415->0.0415; '____' 0.00488->0.00488; '?\n' 0.00811->0.0081
layers.4.mlp.down_proj	4	mlp.down_proj	48	0.01758	0.0005023	0.0004181	0.832	'?\n'	0.07516	0.07521	'?\n' 0.0752->0.0752; ' ' 0.0415->0.0415; '??' 0.0111->0.0112; '????' 0.00654->0.00656; ' -' 0.006->0.00598
layers.4.mlp.down_proj	4	mlp.down_proj	598	0.07617	0.0004857	0.0003918	0.807	'?\n'	0.07516	0.07519	'?\n' 0.0752->0.0752; ' -' 0.006->0.00598; '?\n' 0.00811->0.00812; ' ' 0.0415->0.0415; '????' 0.00654->0.00654
layers.4.mlp.down_proj	4	mlp.down_proj	601	0.9297	0.0004605	0.0003711	0.806	' '	0.04154	0.0415	' ' 0.0415->0.0415; '?\n' 0.0752->0.0751; ' -' 0.006->0.00598; '?' 0.00996->0.00995; '???' 0.00613->0.00613
layers.4.mlp.down_proj	4	mlp.down_proj	727	0.4785	0.0004713	0.0003778	0.802	'?\n'	0.07516	0.07513	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0416; ' -' 0.006->0.00598; '____' 0.00488->0.00487; '??' 0.0111->0.0112
layers.4.mlp.gate_proj	4	mlp.gate_proj	889	0.4766	0.0004817	0.0003884	0.806	'?\n'	0.07516	0.07526	'?\n' 0.0752->0.0753; ' ' 0.0415->0.0416; '?\n' 0.00811->0.00812; ' -' 0.006->0.00599; '??' 0.0111->0.0112
layers.4.mlp.up_proj	4	mlp.up_proj	48	0.0332	0.0004784	0.0003905	0.816	' '	0.04154	0.0415	' ' 0.0415->0.0415; '?\n' 0.0752->0.0751; '?' 0.00996->0.00995; '____' 0.00488->0.00487; ' (' 0.00526->0.00526
layers.4.mlp.up_proj	4	mlp.up_proj	89	1	0.0004798	0.000391	0.815	'?\n'	0.07516	0.07513	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0416; '?' 0.00996->0.00994; '??' 0.0111->0.0111; ' -' 0.006->0.00599
layers.5.mlp.down_proj	5	mlp.down_proj	126	1	0.0004516	0.0003666	0.812	'?\n'	0.07516	0.07507	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0416; '____' 0.00488->0.00487; ' -' 0.006->0.00598; '?' 0.00996->0.00995
layers.5.mlp.down_proj	5	mlp.down_proj	194	0.02734	0.0004701	0.0003889	0.827	'?\n'	0.07516	0.07529	'?\n' 0.0752->0.0753; ' ' 0.0415->0.0416; '??' 0.0111->0.0112; '???' 0.00613->0.00615; '????' 0.00654->0.00655
layers.5.mlp.down_proj	5	mlp.down_proj	397	0.01758	0.0004664	0.0003809	0.817	'??'	0.01114	0.01117	'??' 0.0111->0.0112; '?\n' 0.0752->0.0752; ' -' 0.006->0.00598; '?\n' 0.00811->0.00813; ' ' 0.0415->0.0416
layers.5.mlp.down_proj	5	mlp.down_proj	691	0.05469	0.0004593	0.0003794	0.826	'?\n'	0.07516	0.07496	'?\n' 0.0752->0.075; ' ' 0.0415->0.0416; '____' 0.00488->0.00487; '?' 0.00996->0.00995; '?\n' 0.00811->0.0081
layers.5.mlp.up_proj	5	mlp.up_proj	262	0.03125	0.0004509	0.000371	0.823	' -'	0.005999	0.005981	' -' 0.006->0.00598; '?\n' 0.0752->0.0752; '?\n' 0.00811->0.00812; '??' 0.0111->0.0111; '???' 0.00613->0.00613
layers.5.self_attn.o_proj	5	self_attn.o_proj	204	0.01562	0.0004615	0.0003724	0.807	'?\n'	0.07516	0.07506	'?\n' 0.0752->0.0751; '?' 0.00996->0.00994; ' -' 0.006->0.00598; '____' 0.00488->0.00487; '??' 0.0111->0.0112
layers.5.self_attn.o_proj	5	self_attn.o_proj	363	0.01562	0.0004679	0.0003808	0.814	'?\n'	0.07516	0.0752	'?\n' 0.0752->0.0752; '??' 0.0111->0.0112; ' ' 0.0415->0.0416; '?' 0.00996->0.00995; '????' 0.00654->0.00655
layers.6.mlp.down_proj	6	mlp.down_proj	83	0.8281	0.0004373	0.0003599	0.823	'?\n'	0.07516	0.07509	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0416; '____' 0.00488->0.00486; '?' 0.00996->0.00995; '?\n' 0.00811->0.0081
layers.6.mlp.down_proj	6	mlp.down_proj	264	0.01758	0.0004292	0.0003507	0.817	'?\n'	0.07516	0.07511	'?\n' 0.0752->0.0751; '?' 0.00996->0.00995; '____' 0.00488->0.00487; '??' 0.0111->0.0111; ' -' 0.006->0.00599
layers.6.self_attn.o_proj	6	self_attn.o_proj	52	0.01562	0.0004434	0.0003587	0.809	'?\n'	0.07516	0.07522	'?\n' 0.0752->0.0752; '??' 0.0111->0.0112; '____' 0.00488->0.00487; '???' 0.00613->0.00614; '?' 0.00996->0.00996
layers.6.self_attn.o_proj	6	self_attn.o_proj	161	0.4902	0.0004448	0.0003619	0.814	'?\n'	0.07516	0.07511	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0416; '?' 0.00996->0.00995; ' (' 0.00526->0.00527; '________' 0.0018->0.0018
layers.6.self_attn.o_proj	6	self_attn.o_proj	436	0.07617	0.0004458	0.0003618	0.812	' '	0.04154	0.0415	' ' 0.0415->0.0415; '?\n' 0.0752->0.0751; '?' 0.00996->0.00994; ' -' 0.006->0.00599; '____' 0.00488->0.00487
layers.6.self_attn.v_proj	6	self_attn.v_proj	221	0.05273	0.0006119	0.0005037	0.823	'?\n'	0.07516	0.07556	'?\n' 0.0752->0.0756; ' ' 0.0415->0.0419; '?\n' 0.00811->0.00819; '??' 0.0111->0.0112; '?' 0.00996->0.01
layers.7.mlp.down_proj	7	mlp.down_proj	745	0.2402	0.0004835	0.0003928	0.812	'?\n'	0.07516	0.07479	'?\n' 0.0752->0.0748; ' ' 0.0415->0.0416; '?' 0.00996->0.00993; '??' 0.0111->0.0111; '?\n' 0.00811->0.00809
layers.7.self_attn.v_proj	7	self_attn.v_proj	19	0.1719	0.0004388	0.000357	0.814	' '	0.04154	0.04159	' ' 0.0415->0.0416; '?\n' 0.0752->0.0752; '____' 0.00488->0.00487; '?\n' 0.00811->0.00812; '??' 0.0111->0.0111
layers.8.mlp.down_proj	8	mlp.down_proj	27	0.02148	0.0004217	0.0003419	0.811	'?\n'	0.07516	0.07522	'?\n' 0.0752->0.0752; ' -' 0.006->0.00597; '??' 0.0111->0.0112; '???' 0.00613->0.00614; '????' 0.00654->0.00655
layers.8.mlp.down_proj	8	mlp.down_proj	1012	0.0293	0.0004003	0.0003259	0.814	'?\n'	0.07516	0.07507	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0416; '?' 0.00996->0.00994; '??' 0.0111->0.0111; '____' 0.00488->0.00487
layers.9.mlp.down_proj	9	mlp.down_proj	123	1	0.0004192	0.0003349	0.799	'?\n'	0.07516	0.07499	'?\n' 0.0752->0.075; '?' 0.00996->0.00992; '____' 0.00488->0.00484; '??' 0.0111->0.0111; ' -' 0.006->0.00597
layers.9.mlp.down_proj	9	mlp.down_proj	228	0.04883	0.000383	0.0003108	0.811	'?'	0.009965	0.009942	'?' 0.00996->0.00994; ' -' 0.006->0.00598; ' (' 0.00526->0.00525; '?\n' 0.00811->0.00812; ' ' 0.0415->0.0415
layers.9.mlp.down_proj	9	mlp.down_proj	355	0.01758	0.0003935	0.000316	0.803	'?'	0.009965	0.009937	'?' 0.00996->0.00994; '?\n' 0.0752->0.0751; ' -' 0.006->0.00599; '?\n' 0.00811->0.00812; '____' 0.00488->0.00488
layers.9.mlp.gate_proj	9	mlp.gate_proj	228	0.02539	0.0003858	0.0003111	0.806	' -'	0.005999	0.005982	' -' 0.006->0.00598; '?\n' 0.0752->0.0751; '____' 0.00488->0.00487; '?' 0.00996->0.00995; '??' 0.0111->0.0111
layers.9.mlp.gate_proj	9	mlp.gate_proj	230	1	0.0004147	0.0003339	0.805	'?\n'	0.07516	0.075	'?\n' 0.0752->0.075; '____' 0.00488->0.00483; '?' 0.00996->0.00992; '??' 0.0111->0.0111; ' ' 0.0415->0.0415
